classcombo,advantage,competency,Alcohol.Tolerance.Perk,Allundean,Archery,Armor.Making,Armor.Repair,Axe.Making,Backstab,Bandage,Bandage.Making,Bash,Basketweaving,Bendune,Better.Movement.Regeneration,Blind.Fighting,Blowgun.Use,Bludgeoning.Weapons,Bow.Making,Brew,Cavilish,Charge,Chopping.Weapons,City.Forage,City.Hunt,City.Stealth,Clayworking,Climb,Clothworking,Club.Making,Cooking,Crossbow.Use,Customcraft,Direction.Sense,Disarm,Dual.Wield,Dyeing,Feather.Working,Flee,Fletchery,Floristry,Forage,Guarding,Hack,Haggle,Hide.city,Hide.wilderness,Hitch.2.Mounts,Hunt.city,Hunt.wilderness,Instrument.Making,Jewelry.Making,Kick,Knife.Making,Learn.Languages.Perk,Learn.Ride.Faster,Leatherworking,Listen.city,Listen.wilderness,Lumberjacking,Mirukkium,Pain.Tolerance.Perk,Parry,Peek,Pick,Pick.Making,Piercing.Weapons,Pilot,Poisoning,Rescue,Ride,Riposte,Sap,Scan,Search,Shield.Use,Skinning,Slashing.Weapons,Sleight.of.Hand,Sling.Use,Sneak.city,Sneak.wilderness,Spear.Making,Steal,Stonecrafting,Subdue,Sword.Making,Tame.Mounts,Tanning,Tent.Making,Threaten,Throw,Tool.Making,Tribal.Accent,Two.Handed,Value,Wagon.Making,Watch,Wilderness.Forage,Wilderness.Hunt,Wilderness.Quit,Wilderness.Stealth,Woodworking
Artisan Custom.Crafter,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Forester,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,2,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,1,0,0,4
Artisan Grebber,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,1,0,0,4,3,4,4,4,2,1,3,0,2,4,4,0,4,4,4,0,0,4,0,0,0,0,3,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,3,2,0,0,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,1,1,0,1,4
Artisan Guard,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,3,4,4,2,4,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,3,0,0,0,2,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,2,4,0,4,4,0,0,4,0,2,4,4,3,0,0,0,0,4
Artisan House.Servant,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,1,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,3,0,0,0,0,4,4,0,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,2,0,0,3,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,3,0,0,0,0,4
Artisan Hunter,City,Heavy mercantile,0,0,3,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,3,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,4,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,1,0,1,4
Artisan Jeweler,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,3,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Lancer,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,3,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,3,4,0,0,4,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,3,4,0,4,4,3,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Linguist,City,Heavy mercantile,0,4,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,1,0,4,0,0,4,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Marksman,City,Heavy mercantile,0,0,3,4,4,4,0,3,4,0,4,0,0,0,3,2,4,0,4,0,0,0,0,0,4,0,4,4,4,3,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Master.Chef,City,Heavy mercantile,1,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,1,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,4,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,1,0,0,0,4
Artisan Master.Trader,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,1,0,0,4,4,0,4,0,0,4,4,4,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Mercenary,City,Heavy mercantile,1,0,0,4,4,4,0,3,4,0,4,0,1,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,3,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,3,0,0,0,0,4
Artisan Mountaineer,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,4,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,3,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,0,0,0,0,3,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,1,0,1,1,4
Artisan Nomad,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,4,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,1,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,2,2,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,4,2,4,4,0,0,0,1,0,4
Artisan Outdoorsman,City,Heavy mercantile,0,0,3,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,4,0,2,4,4,0,4,4,2,0,0,4,0,3,0,0,3,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,2,3,0,0,0,0,3,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,1,1,1,1,4
Artisan Outlaw,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,1,1,4,3,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,3,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,1,0,1,4
Artisan Physician,City,Heavy mercantile,0,0,0,4,4,4,0,4,4,0,4,0,0,0,0,2,4,4,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,3,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Pit.Fighter,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,3,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,3,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,4,0,4,3,4,0,4,4,3,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Poisoner,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,4,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Reaver,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,3,0,0,0,4,0,4,4,4,2,1,0,3,2,4,4,0,4,4,2,0,4,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Rogue,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,1,4,3,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,3,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,3,0,2,4,0,0,0,0,0,3,4,2,0,0,0,0,4,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,3,0,0,0,0,4
Artisan Slipknife,City,Heavy mercantile,0,0,0,4,4,4,4,3,4,0,4,0,0,0,3,2,4,0,4,0,0,0,0,1,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,3,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,2,0,0,3,0,3,0,4,0,4,0,4,0,4,4,0,3,4,0,2,4,4,0,0,0,0,0,4
Artisan Swordsman,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,3,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,3,0,0,0,2,4,0,0,0,3,0,0,0,2,0,3,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,4,3,0,0,0,0,4
Artisan Tailors,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Thief,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,1,1,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,3,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,3,0,0,2,4,0,0,0,0,3,3,0,2,0,0,3,0,3,0,4,4,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Thug,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,3,4,4,2,0,0,4,0,0,0,0,0,4,4,4,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0,4,0,4,3,4,0,4,4,3,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Touched.Drovian,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,3,0,2,4,0,4,0,0,0,0,1,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,3,3,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,2,0,0,0,0,2,2,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,1,4
Artisan Touched.Elkros,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,3,0,0,0,4,4,3,4,0,0,4,0,0,4,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Touched.Rukkian,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,2,4,4,4,2,1,0,0,2,4,4,0,4,4,3,0,0,4,0,0,0,0,2,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,1,0,0,0,4
Artisan Touched.Suk.Krathi,City,Heavy mercantile,0,3,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,1,0,4,0,0,4,3,1,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Artisan Touched.Vivaduan,City,Heavy mercantile,1,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,3,4,0,0,1,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,3,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,1,0,0,0,4
Artisan Touched.Whiran,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,1,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,2,2,0,0,0,4,4,0,4,0,0,4,3,3,4,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,2,0,0,0,0,3,3,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,1,4
Artisan Wastelander,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,4,1,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,3,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,4,3,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,4,2,4,4,0,1,0,1,0,4
Artisan Weaponscrafter,City,Heavy mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,4,0,4,0,0,0,0,0,4,0,4,4,4,2,1,0,0,2,4,4,0,4,4,2,0,0,4,0,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,4,0,4,4,0,0,4,0,2,4,4,0,0,0,0,0,4
Craftsperson Archer,City,Light mercantile,0,0,4,4,4,4,0,3,4,0,4,0,0,0,0,2,3,0,0,0,2,0,0,0,4,0,4,4,4,4,0,3,0,3,4,3,2,4,0,0,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Armormaker,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Bandit,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,3,2,0,0,0,4,3,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,4,1,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,3,0,4,0,3,4,0,3,0,0,1,1,4
Craftsperson Bard,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,4,4,2,4,1,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,2,0,2,3,3,0,0,4,3,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Berserker,City,Light mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,2,0,0,0,0,3,0,0,0,4,0,4,4,4,3,0,0,3,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,3,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,3,4,0,4,4,3,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Bounty.Hunter,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,1,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,0,0,3,3,0,4,2,4,0,0,4,3,3,4,0,0,0,0,0,0,2,4,0,0,3,0,3,0,0,2,0,2,0,3,0,0,4,0,4,3,4,0,4,4,0,0,4,0,3,4,0,3,0,1,0,0,4
Craftsperson Bruiser,City,Light mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,3,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,3,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,3,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,3,4,0,4,4,3,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Caravan.Guide,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,4,0,0,0,2,0,0,3,0,2,0,0,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,0,1,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,1,0,4
Craftsperson Con.Artist,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,1,4,0,4,4,4,3,0,0,0,3,4,0,4,4,0,0,0,0,4,3,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,3,0,0,2,4,0,0,0,0,0,0,0,2,0,2,4,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Crafter,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,2,4,0,3,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Custom.Crafter,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Forester,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,2,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,2,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,1,0,0,4
Craftsperson Grebber,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,1,0,0,4,3,4,4,4,3,0,3,0,3,4,0,2,4,0,4,0,0,4,0,0,0,0,3,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,3,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,1,1,0,1,4
Craftsperson Guard,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,3,4,0,0,4,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,3,0,0,0,2,4,0,3,0,0,0,0,0,3,0,2,0,3,0,0,4,0,4,2,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson House.Servant,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,1,4,0,4,4,4,3,0,0,0,3,4,0,2,4,3,0,0,0,4,3,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,2,0,2,3,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Hunter,City,Light mercantile,0,0,3,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,3,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,4,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,1,0,1,4
Craftsperson Jeweler,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,3,2,4,0,3,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Lancer,City,Light mercantile,0,0,0,4,4,4,0,3,4,3,4,0,0,3,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,3,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,3,4,0,0,4,3,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,3,4,0,4,4,3,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Linguist,City,Light mercantile,0,4,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,2,4,1,0,4,3,0,4,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Marksman,City,Light mercantile,0,0,3,4,4,4,0,3,4,0,4,0,0,0,3,2,4,0,0,0,2,0,0,0,4,0,4,4,4,3,0,0,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Master.Chef,City,Light mercantile,1,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,1,0,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,4,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,3,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,1,0,0,0,4
Craftsperson Master.Trader,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,4,0,2,0,0,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,0,1,0,0,0,4,2,4,0,0,4,4,4,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Mercenary,City,Light mercantile,1,0,0,4,4,4,0,3,4,0,4,0,1,0,0,2,0,0,0,0,2,0,0,0,4,0,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,2,0,3,0,0,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,0,0,0,0,4
Craftsperson Mountaineer,City,Light mercantile,0,0,0,4,4,4,0,3,4,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,4,4,4,4,3,0,3,0,3,4,0,2,4,0,0,0,0,4,0,3,0,0,0,0,4,2,4,0,0,4,3,0,4,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0,2,0,2,0,3,0,3,4,0,4,0,4,0,4,4,0,0,4,0,3,4,0,3,1,0,1,1,4
